"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1,J2";"TerminalBlock_Altech_AK300-2_P5.00mm";2;"Conn_01x02";;;
2;"C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"1uF";;;
3;"C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"4.7uF";;;
4;"C3";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"22uF";;;
5;"Q1";"TO-92L";1;"2N2219";;;
6;"R1,R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1K";;;
7;"R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"4.7K";;;
8;"J3";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Screw_Terminal_01x02";;;
